x0,y0,name,elevation,inv_elev,max_depth,open,InitDepth,SurDepth,Aponded,routing
102.5700000003,107.8089999994,j1,26.819,24.765,2.054,0,0,0,1,1
92.2600000016,132.0899999989,j2,26.865,25.025,1.84,0,0,0,1,1
74.620000001,173.3359999992,j3,27.967,26.195,1.772,0,0,0,1,1
63.5599999987,200.3439999986,j4,28.51,26.725,1.785,0,0,0,1,1
121.2600000016,58.5659999987,j5,27.349,24.685,2.664,0,0,0,1,1
85.9600000009,38.0549999988,j6,27.141,24.535,2.606,0,0,0,1,1
63.1000000015,11.2499999991,j7,27.338,24.505,2.833,0,0,0,1,1
86.4899999984,44.6329999994,j8,27.058,24.568,2.49,1,0,0,1,1
90.4499999993,40.2409999995,j9,27.104,24.56,2.544,1,0,0,1,1
126.1900000013,68.0589999994,j10,27.079,24.7385,2.3405,1,0,0,1,1
131.4400000013,63.1499999994,j11,27.314,24.7408,2.5732,1,0,0,1,1
90.4899999984,127.2689999994,j12,26.798,25.1207,1.6773,1,0,0,1,1
94.7100000009,129.2929999987,j13,26.647,25.1136,1.5334,1,0,0,1,1
